相对强度 运行#3	位置 (米 m) 运行#3
0.032654	0.0000
0.031738	0.0000
0.032745	0.0000
0.033875	0.0000
0.032440	0.0000
0.034378	0.0000
0.031830	0.0000
0.032135	0.0000
0.033051	0.0000
0.033356	0.0000
0.031433	0.0000
0.034180	0.0000
0.030197	0.0000
0.032349	0.0000
0.033463	0.0000
0.033661	0.0000
0.032242	0.0000
0.034073	0.0000
0.031021	0.0000
0.033356	0.0000
0.033356	0.0000
0.034271	0.0000
0.032440	0.0000
0.033463	0.0000
0.033569	0.0000
0.032135	0.0000
0.033264	0.0000
0.030914	0.0000
0.032959	0.0000
0.031830	0.0000
0.031128	0.0000
0.033661	0.0000
0.031830	0.0000
0.033356	0.0000
0.033051	0.0000
0.032959	0.0000
0.031631	0.0000
0.032654	0.0000
0.033264	0.0000
0.033264	0.0000
0.031937	0.0000
0.031631	0.0000
0.032852	0.0000
0.031219	0.0000
0.033356	0.0000
0.034485	0.0000
0.033569	0.0000
0.033356	0.0000
0.032959	0.0000
0.032654	0.0000
0.033264	0.0000
0.034271	0.0000
0.033463	0.0000
0.032745	0.0000
0.031219	0.0000
0.032745	0.0000
0.033356	0.0000
0.033661	0.0000
0.031830	0.0000
0.033463	0.0000
0.033569	0.0000
0.032654	0.0000
0.032745	0.0000
0.033051	0.0000
0.032440	0.0000
0.034271	0.0000
0.033264	0.0000
0.031830	0.0000
0.033051	0.0000
0.033569	0.0000
0.033569	0.0000
0.031738	0.0000
0.033875	0.0000
0.032135	0.0000
0.032349	0.0000
0.033264	0.0000
0.031631	0.0000
0.032440	0.0000
0.032654	0.0000
0.032745	0.0000
0.032242	0.0000
0.033569	0.0000
0.033157	0.0000
0.034073	0.0000
0.031738	0.0000
0.033264	0.0000
0.032852	0.0000
0.033569	0.0000
0.031738	0.0000
0.034378	0.0000
0.031830	0.0000
0.031830	0.0000
0.032852	0.0000
0.033966	0.0000
0.032852	0.0000
0.032349	0.0000
0.032852	0.0000
0.032135	0.0000
0.032745	0.0000
0.033157	0.0000
0.031738	0.0000
0.034073	0.0000
0.033051	0.0000
0.031525	0.0000
0.032745	0.0000
0.033875	0.0000
0.031021	0.0000
0.031525	0.0000
0.034073	0.0000
0.032043	0.0000
0.033463	0.0000
0.032349	0.0000
0.033463	0.0000
0.032959	0.0000
0.032852	0.0000
0.031738	0.0000
0.033661	0.0000
0.033768	0.0000
0.033051	0.0000
0.031021	0.0000
0.033463	0.0000
0.033463	0.0000
0.033661	0.0000
0.033661	0.0000
0.032349	0.0000
0.033569	0.0000
0.030716	0.0000
0.033157	0.0000
0.030197	0.0000
0.031738	0.0000
0.032959	0.0000
0.031525	0.0000
0.033157	0.0000
0.033875	0.0000
0.031219	0.0000
0.032440	0.0000
0.032242	0.0000
0.034485	0.0000
0.032654	0.0000
0.031128	0.0000
0.034073	0.0000
0.033661	0.0000
0.033157	0.0000
0.033264	0.0000
0.032242	0.0000
0.034271	0.0000
0.033966	0.0000
0.031937	0.0000
0.032547	0.0000
0.033768	0.0000
0.032440	0.0000
0.033051	0.0000
0.032242	0.0000
0.033356	0.0000
0.033051	0.0000
0.032547	0.0000
0.032852	0.0000
0.031219	0.0000
0.033157	0.0000
0.033661	0.0000
0.031631	0.0000
0.033875	0.0000
0.033768	0.0000
0.032547	0.0000
0.033264	0.0000
0.032959	0.0000
0.031937	0.0000
0.033356	0.0000
0.034073	0.0000
0.033875	0.0000
0.032242	0.0000
0.033051	0.0000
0.032043	0.0000
0.032440	0.0000
0.031631	0.0000
0.034485	1.9725E-5
0.033463	1.9725E-5
0.030823	1.9725E-5
0.032349	1.9725E-5
0.031326	1.9725E-5
0.034180	1.9725E-5
0.032547	1.9725E-5
0.029907	1.9725E-5
0.033768	1.9725E-5
0.031525	1.9725E-5
0.034180	1.9725E-5
0.032959	1.9725E-5
0.031326	1.9725E-5
0.034378	1.9725E-5
0.032852	1.9725E-5
0.033157	1.9725E-5
0.032440	1.9725E-5
0.033661	1.9725E-5
0.032242	1.9725E-5
0.032654	1.9725E-5
0.030609	1.9725E-5
0.033768	1.9725E-5
0.033661	1.9725E-5
0.033463	1.9725E-5
0.031738	1.9725E-5
0.033356	1.9725E-5
0.033264	1.9725E-5
0.032440	1.9725E-5
0.033264	1.9725E-5
0.033463	1.9725E-5
0.033966	1.9725E-5
0.032135	1.9725E-5
0.033264	1.9725E-5
0.031738	1.9725E-5
0.032349	1.9725E-5
0.033661	1.9725E-5
